machine_id,time_seconds,motion_score,threshold_used,label,filename
m1,70.0,9.34,6.0,RUNNING,m1_RUNNING_1786364364589_1750.jpg
m2,70.0,5.64,4.0,RUNNING,m2_RUNNING_1786364364589_1750.jpg
m1,71.0,7.23,6.0,RUNNING,m1_RUNNING_1786364364615_1775.jpg
m2,71.0,4.45,4.0,SKIPPED,
m1,72.0,6.60,6.0,SKIPPED,
m2,72.0,4.43,4.0,SKIPPED,
m1,73.0,6.56,6.0,SKIPPED,
m2,73.0,3.24,4.0,SKIPPED,
m1,74.0,11.57,6.0,RUNNING,m1_RUNNING_1786364364728_1850.jpg
m2,74.0,7.01,4.0,RUNNING,m2_RUNNING_1786364364732_1850.jpg
m1,75.0,10.26,6.0,RUNNING,m1_RUNNING_1786364364759_1875.jpg
m2,75.0,6.51,4.0,RUNNING,m2_RUNNING_1786364364759_1875.jpg
m1,76.0,9.93,6.0,RUNNING,m1_RUNNING_1786364364804_1900.jpg
m2,76.0,5.94,4.0,RUNNING,m2_RUNNING_1786364364804_1900.jpg
m1,77.0,6.35,6.0,SKIPPED,
m2,77.0,3.85,4.0,SKIPPED,
m1,78.0,6.95,6.0,SKIPPED,
m2,78.0,4.84,4.0,SKIPPED,
m1,79.0,6.71,6.0,SKIPPED,
m2,79.0,4.29,4.0,SKIPPED,
m1,80.0,8.68,6.0,RUNNING,m1_RUNNING_1786364365016_2000.jpg
m2,80.0,6.07,4.0,RUNNING,m2_RUNNING_1786364365030_2000.jpg
m1,81.0,9.40,6.0,RUNNING,m1_RUNNING_1786364365066_2025.jpg
m2,81.0,6.65,4.0,RUNNING,m2_RUNNING_1786364365066_2025.jpg
m1,82.0,11.40,6.0,RUNNING,m1_RUNNING_1786364365106_2050.jpg
m2,82.0,9.34,4.0,RUNNING,m2_RUNNING_1786364365108_2050.jpg
m1,83.0,11.74,6.0,RUNNING,m1_RUNNING_1786364365145_2075.jpg
m2,83.0,9.10,4.0,RUNNING,m2_RUNNING_1786364365146_2075.jpg
m1,84.0,10.18,6.0,RUNNING,m1_RUNNING_1786364365181_2100.jpg
m2,84.0,6.58,4.0,RUNNING,m2_RUNNING_1786364365181_2100.jpg
m1,85.0,9.55,6.0,RUNNING,m1_RUNNING_1786364365223_2125.jpg
m2,85.0,6.29,4.0,RUNNING,m2_RUNNING_1786364365223_2125.jpg
m1,86.0,7.36,6.0,RUNNING,m1_RUNNING_1786364365270_2150.jpg
m2,86.0,4.25,4.0,SKIPPED,
m1,87.0,4.79,6.0,STOPPED,m1_STOPPED_1786364365319_2175.jpg
m2,87.0,2.63,4.0,STOPPED,m2_STOPPED_1786364365319_2175.jpg
m1,88.0,7.29,6.0,RUNNING,m1_RUNNING_1786364365365_2200.jpg
m2,88.0,4.85,4.0,SKIPPED,
m1,89.0,6.32,6.0,SKIPPED,
m2,89.0,4.42,4.0,SKIPPED,
m1,90.0,6.27,6.0,SKIPPED,
m2,90.0,4.14,4.0,SKIPPED,
m1,91.0,5.21,6.0,SKIPPED,
m2,91.0,2.96,4.0,STOPPED,m2_STOPPED_1786364365492_2275.jpg
m1,92.0,8.51,6.0,RUNNING,m1_RUNNING_1786364365526_2300.jpg
m2,92.0,4.84,4.0,SKIPPED,
m1,93.0,8.65,6.0,RUNNING,m1_RUNNING_1786364365559_2325.jpg
m2,93.0,4.31,4.0,SKIPPED,
m1,94.0,9.92,6.0,RUNNING,m1_RUNNING_1786364365599_2350.jpg
m2,94.0,5.03,4.0,RUNNING,m2_RUNNING_1786364365601_2350.jpg
m1,95.0,6.35,6.0,SKIPPED,
m2,95.0,3.99,4.0,SKIPPED,
m1,96.0,8.46,6.0,RUNNING,m1_RUNNING_1786364365673_2400.jpg
m2,96.0,4.48,4.0,SKIPPED,
m1,97.0,9.07,6.0,RUNNING,m1_RUNNING_1786364365698_2425.jpg
m2,97.0,3.46,4.0,SKIPPED,
m1,98.0,11.70,6.0,RUNNING,m1_RUNNING_1786364365730_2450.jpg
m2,98.0,6.44,4.0,RUNNING,m2_RUNNING_1786364365730_2450.jpg
m1,99.0,11.31,6.0,RUNNING,m1_RUNNING_1786364365777_2475.jpg
m2,99.0,7.13,4.0,RUNNING,m2_RUNNING_1786364365777_2475.jpg
m1,100.0,11.55,6.0,RUNNING,m1_RUNNING_1786364365810_2500.jpg
m2,100.0,7.71,4.0,RUNNING,m2_RUNNING_1786364365814_2500.jpg
m1,101.0,9.05,6.0,RUNNING,m1_RUNNING_1786364365840_2525.jpg
m2,101.0,6.42,4.0,RUNNING,m2_RUNNING_1786364365840_2525.jpg
m1,102.0,11.18,6.0,RUNNING,m1_RUNNING_1786364365887_2550.jpg
m2,102.0,6.97,4.0,RUNNING,m2_RUNNING_1786364365889_2550.jpg
m1,103.0,6.93,6.0,SKIPPED,
m2,103.0,4.25,4.0,SKIPPED,
m1,104.0,9.05,6.0,RUNNING,m1_RUNNING_1786364365965_2600.jpg
m2,104.0,6.33,4.0,RUNNING,m2_RUNNING_1786364365966_2600.jpg
m1,105.0,8.46,6.0,RUNNING,m1_RUNNING_1786364366005_2625.jpg
m2,105.0,6.22,4.0,RUNNING,m2_RUNNING_1786364366015_2625.jpg
m1,106.0,8.53,6.0,RUNNING,m1_RUNNING_1786364366054_2650.jpg
m2,106.0,5.59,4.0,RUNNING,m2_RUNNING_1786364366054_2650.jpg
m1,107.0,8.22,6.0,RUNNING,m1_RUNNING_1786364366106_2675.jpg
m2,107.0,6.22,4.0,RUNNING,m2_RUNNING_1786364366106_2675.jpg
m1,108.0,8.97,6.0,RUNNING,m1_RUNNING_1786364366153_2700.jpg
m2,108.0,6.42,4.0,RUNNING,m2_RUNNING_1786364366153_2700.jpg
m1,109.0,5.72,6.0,SKIPPED,
m2,109.0,3.54,4.0,SKIPPED,
m1,110.0,6.38,6.0,SKIPPED,
m2,110.0,3.56,4.0,SKIPPED,
m1,111.0,4.37,6.0,STOPPED,m1_STOPPED_1786364366301_2775.jpg
m2,111.0,2.60,4.0,STOPPED,m2_STOPPED_1786364366301_2775.jpg
m1,112.0,5.25,6.0,SKIPPED,
m2,112.0,3.50,4.0,SKIPPED,
m1,113.0,3.88,6.0,STOPPED,m1_STOPPED_1786364366393_2825.jpg
m2,113.0,2.54,4.0,STOPPED,m2_STOPPED_1786364366393_2825.jpg
m1,114.0,5.38,6.0,SKIPPED,
m2,114.0,3.47,4.0,SKIPPED,
m1,115.0,3.89,6.0,STOPPED,m1_STOPPED_1786364366462_2875.jpg
m2,115.0,2.32,4.0,STOPPED,m2_STOPPED_1786364366462_2875.jpg
m1,116.0,5.63,6.0,SKIPPED,
m2,116.0,3.57,4.0,SKIPPED,
m1,117.0,5.42,6.0,SKIPPED,
m2,117.0,2.95,4.0,STOPPED,m2_STOPPED_1786364366541_2925.jpg
m1,118.0,6.32,6.0,SKIPPED,
m2,118.0,4.05,4.0,SKIPPED,
m1,119.0,7.24,6.0,RUNNING,m1_RUNNING_1786364366616_2975.jpg
m2,119.0,4.67,4.0,SKIPPED,
m1,120.0,8.10,6.0,RUNNING,m1_RUNNING_1786364366649_3000.jpg
m2,120.0,5.16,4.0,RUNNING,m2_RUNNING_1786364366649_3000.jpg
m1,121.0,8.62,6.0,RUNNING,m1_RUNNING_1786364366702_3025.jpg
m2,121.0,5.67,4.0,RUNNING,m2_RUNNING_1786364366702_3025.jpg
m1,122.0,9.21,6.0,RUNNING,m1_RUNNING_1786364366750_3050.jpg
m2,122.0,6.05,4.0,RUNNING,m2_RUNNING_1786364366751_3050.jpg
m1,123.0,9.87,6.0,RUNNING,m1_RUNNING_1786364366791_3075.jpg
m2,123.0,7.19,4.0,RUNNING,m2_RUNNING_1786364366792_3075.jpg
m1,124.0,10.03,6.0,RUNNING,m1_RUNNING_1786364366831_3100.jpg
m2,124.0,7.54,4.0,RUNNING,m2_RUNNING_1786364366832_3100.jpg
m1,125.0,6.52,6.0,SKIPPED,
m2,125.0,4.79,4.0,SKIPPED,
m1,126.0,7.25,6.0,RUNNING,m1_RUNNING_1786364366916_3150.jpg
m2,126.0,5.15,4.0,RUNNING,m2_RUNNING_1786364366917_3150.jpg
m1,127.0,6.23,6.0,SKIPPED,
m2,127.0,4.30,4.0,SKIPPED,
m1,128.0,6.71,6.0,SKIPPED,
m2,128.0,4.75,4.0,SKIPPED,
m1,129.0,5.81,6.0,SKIPPED,
m2,129.0,4.06,4.0,SKIPPED,
m1,130.0,6.24,6.0,SKIPPED,
m2,130.0,4.21,4.0,SKIPPED,
m1,131.0,5.11,6.0,SKIPPED,
m2,131.0,3.32,4.0,SKIPPED,
m1,132.0,6.41,6.0,SKIPPED,
m2,132.0,4.52,4.0,SKIPPED,
m1,133.0,5.73,6.0,SKIPPED,
m2,133.0,4.10,4.0,SKIPPED,
m1,134.0,5.56,6.0,SKIPPED,
m2,134.0,3.98,4.0,SKIPPED,
m1,135.0,4.79,6.0,STOPPED,m1_STOPPED_1786364367225_3375.jpg
m2,135.0,3.12,4.0,SKIPPED,
m1,136.0,6.21,6.0,SKIPPED,
m2,136.0,3.88,4.0,SKIPPED,
m1,137.0,4.96,6.0,STOPPED,m1_STOPPED_1786364367294_3425.jpg
m2,137.0,3.06,4.0,SKIPPED,
m1,138.0,6.05,6.0,SKIPPED,
m2,138.0,3.97,4.0,SKIPPED,
m1,139.0,5.62,6.0,SKIPPED,
m2,139.0,4.05,4.0,SKIPPED,
m1,140.0,7.57,6.0,RUNNING,m1_RUNNING_1786364367399_3500.jpg
m2,140.0,5.25,4.0,RUNNING,m2_RUNNING_1786364367399_3500.jpg
m1,141.0,7.12,6.0,RUNNING,m1_RUNNING_1786364367431_3525.jpg
m2,141.0,4.88,4.0,SKIPPED,
m1,142.0,6.67,6.0,SKIPPED,
m2,142.0,4.63,4.0,SKIPPED,
m1,143.0,5.35,6.0,SKIPPED,
m2,143.0,3.72,4.0,SKIPPED,
m1,144.0,5.96,6.0,SKIPPED,
m2,144.0,3.88,4.0,SKIPPED,
m1,145.0,5.24,6.0,SKIPPED,
m2,145.0,3.10,4.0,SKIPPED,
m1,146.0,8.92,6.0,RUNNING,m1_RUNNING_1786364367606_3650.jpg
m2,146.0,5.96,4.0,RUNNING,m2_RUNNING_1786364367606_3650.jpg
m1,147.0,8.29,6.0,RUNNING,m1_RUNNING_1786364367638_3675.jpg
m2,147.0,5.38,4.0,RUNNING,m2_RUNNING_1786364367638_3675.jpg
m1,148.0,10.36,6.0,RUNNING,m1_RUNNING_1786364367685_3700.jpg
m2,148.0,7.39,4.0,RUNNING,m2_RUNNING_1786364367685_3700.jpg
m1,149.0,9.85,6.0,RUNNING,m1_RUNNING_1786364367717_3725.jpg
m2,149.0,7.36,4.0,RUNNING,m2_RUNNING_1786364367717_3725.jpg
m1,150.0,10.07,6.0,RUNNING,m1_RUNNING_1786364367765_3750.jpg
m2,150.0,7.69,4.0,RUNNING,m2_RUNNING_1786364367765_3750.jpg
m1,151.0,9.73,6.0,RUNNING,m1_RUNNING_1786364367796_3775.jpg
m2,151.0,7.39,4.0,RUNNING,m2_RUNNING_1786364367796_3775.jpg
m1,152.0,10.04,6.0,RUNNING,m1_RUNNING_1786364367828_3800.jpg
m2,152.0,7.62,4.0,RUNNING,m2_RUNNING_1786364367828_3800.jpg
m1,153.0,10.12,6.0,RUNNING,m1_RUNNING_1786364367860_3825.jpg
m2,153.0,7.59,4.0,RUNNING,m2_RUNNING_1786364367876_3825.jpg
m1,154.0,9.95,6.0,RUNNING,m1_RUNNING_1786364367907_3850.jpg
m2,154.0,7.31,4.0,RUNNING,m2_RUNNING_1786364367907_3850.jpg
m1,155.0,9.99,6.0,RUNNING,m1_RUNNING_1786364367939_3875.jpg
m2,155.0,7.14,4.0,RUNNING,m2_RUNNING_1786364367939_3875.jpg
m1,156.0,8.63,6.0,RUNNING,m1_RUNNING_1786364367971_3900.jpg
m2,156.0,5.67,4.0,RUNNING,m2_RUNNING_1786364367971_3900.jpg
m1,157.0,7.66,6.0,RUNNING,m1_RUNNING_1786364368003_3925.jpg
m2,157.0,5.43,4.0,RUNNING,m2_RUNNING_1786364368003_3925.jpg
m1,158.0,8.86,6.0,RUNNING,m1_RUNNING_1786364368050_3950.jpg
m2,158.0,6.12,4.0,RUNNING,m2_RUNNING_1786364368052_3950.jpg
m1,159.0,10.33,6.0,RUNNING,m1_RUNNING_1786364368086_3975.jpg
m2,159.0,8.91,4.0,RUNNING,m2_RUNNING_1786364368086_3975.jpg
m1,160.0,10.80,6.0,RUNNING,m1_RUNNING_1786364368114_4000.jpg
m2,160.0,8.66,4.0,RUNNING,m2_RUNNING_1786364368114_4000.jpg
m1,161.0,9.29,6.0,RUNNING,m1_RUNNING_1786364368145_4025.jpg
m2,161.0,6.45,4.0,RUNNING,m2_RUNNING_1786364368145_4025.jpg
m1,162.0,9.43,6.0,RUNNING,m1_RUNNING_1786364368177_4050.jpg
m2,162.0,6.27,4.0,RUNNING,m2_RUNNING_1786364368177_4050.jpg
m1,163.0,8.99,6.0,RUNNING,m1_RUNNING_1786364368209_4075.jpg
m2,163.0,6.64,4.0,RUNNING,m2_RUNNING_1786364368225_4075.jpg
m1,164.0,8.28,6.0,RUNNING,m1_RUNNING_1786364368256_4100.jpg
m2,164.0,6.82,4.0,RUNNING,m2_RUNNING_1786364368256_4100.jpg
m1,165.0,9.11,6.0,RUNNING,m1_RUNNING_1786364368295_4125.jpg
m2,165.0,6.99,4.0,RUNNING,m2_RUNNING_1786364368295_4125.jpg
m1,166.0,8.77,6.0,RUNNING,m1_RUNNING_1786364368328_4150.jpg
m2,166.0,6.25,4.0,RUNNING,m2_RUNNING_1786364368328_4150.jpg
m1,167.0,6.40,6.0,SKIPPED,
m2,167.0,4.44,4.0,SKIPPED,
m1,168.0,5.85,6.0,SKIPPED,
m2,168.0,3.92,4.0,SKIPPED,
